"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2008,67007,62,3.5973,3.3857,3.7879,"RD3       ",51
2016,80471,46,2.925,2.7296,3.166,"RD3       ",51
2010,70787,130,2.9418,2.6502,3.1335,"RD3       ",54
2015,77830,18,5.1263,4.93,5.51,"RD2       ",49
2015,77830,52,2.9081,2.72,3.02,"RD3       ",51
2008,67007,94,5.6887,5.3067,6.2411,"RD1       ",52
2013,74872,88,4.56,4.2494,4.8712,"RD2       ",54
2008,67007,135,4.4568,4.2868,4.5948,"RD2       ",54
2015,77830,65,3.4524,3.33,3.67,"RD3       ",52
2017,82790,27,5.3863,4.6751,5.6964,"RD1       ",49
2014,76150,47,3.8406,3.7301,4.0477,"RD3       ",51
2007,65106,95,4.7436,4.4672,5.0361,"RD1       ",54
2016,80471,29,3.5053,3.1562,20.1081,"RD3       ",50
2016,80471,16,3.2098,3.0859,3.3112,"RD3       ",49
2010,70787,100,3.6736,3.5157,3.8447,"RD3       ",52
2014,76150,59,6.5254,6.3995,6.748,"RD1       ",52
2013,74872,70,6.107,5.8286,6.3706,"RD1       ",53
2008,67007,79,5.7798,5.6014,5.8871,"RD1       ",51
2019,85230,51,4.5162,3.9821,5.0092,"RD2       ",51
2018,84250,30,2.9798,2.9042,3.0771,"RD3       ",50
2014,76150,7,3.3025,3.1346,3.3894,"RD3       ",48
2015,77830,70,5.1012,4.68,5.58,"RD1       ",53
2008,67007,22,6.6067,6.2068,6.8889,"RD1       ",48
2014,76150,31,4.6427,4.3798,4.9715,"RD2       ",50
2008,67007,49,6.3573,5.9349,6.5836,"RD1       ",50
2014,76150,11,7.3486,7.2927,7.3893,"RD1       ",49
2015,77830,86,6.2126,6.15,6.3,"RD1       ",54
2009,69067,1,4.9575,4.8324,5.1671,"RD2       ",48
2019,85230,82,3.4523,3.1105,3.8558,"RD3       ",53
2013,74872,11,4.3293,4.2607,4.3923,"RD2       ",48
2019,85230,42,3.2669,2.8255,3.5905,"RD3       ",51
2018,84250,69,6.6395,6.5949,6.6818,"RD1       ",51
2017,82790,87,5.5533,4.9937,6.5047,"RD1       ",54
2020,85690,14,5.6685,5.5708,5.8249,"RD1       ",48
2012,73190,48,4.3107,3.9372,4.5704,"RD2       ",50
2007,65106,36,6.7373,6.7003,6.8274,"RD1       ",50
2010,70787,85,4.5388,4.2224,5.0251,"RD2       ",52
2016,80471,4,6.1085,5.7332,6.4884,"RD1       ",48
2012,73190,31,4.1313,3.4039,4.3181,"RD2       ",49
2014,76150,37,6.3236,5.8791,6.7413,"RD1       ",50
2016,80471,54,5.1138,4.268,5.6078,"RD2       ",51
2018,84250,15,5.9788,5.6357,6.6323,"RD1       ",48
2012,73190,78,5.3781,4.8924,5.846,"RD2       ",51
2016,80471,31,2.8733,2.7096,3.0233,"RD3       ",50
2007,65106,62,5.0422,4.7349,5.2982,"RD1       ",51
2017,82790,64,3.4779,3.3849,3.5506,"RD3       ",52
2014,76150,1,3.4897,3.3799,3.5714,"RD3       ",48
2020,85690,87,5.0999,4.1506,6.0416,"RD1       ",51
2018,84250,29,6.2102,5.2115,7.2415,"RD1       ",50
2016,80471,79,3.2973,3.1338,3.4294,"RD3       ",53
2020,85690,4,5.2348,5.0578,5.5187,"RD2       ",48
2019,85230,86,6.0017,5.8955,6.1404,"RD1       ",54
2009,69067,82,4.9661,4.5285,5.8389,"RD1       ",52
2018,84250,70,7.066,7.004,7.123,"RD1       ",51
2011,72067,71,3.1842,2.9508,3.3996,"RD3       ",51
2011,72067,68,3.4484,3.3713,3.5992,"RD3       ",51
2017,82790,30,5.4694,5.1787,5.7488,"RD1       ",50
2020,85690,74,4.1176,3.9406,4.2458,"RD2       ",53
2016,80471,95,4.1657,3.8955,4.4203,"RD2       ",53
2013,74872,18,3.8794,3.7361,4.0845,"RD3       ",49
2019,85230,48,3.3216,3.1348,3.5085,"RD3       ",51
2017,82790,67,4.1692,3.9193,4.3356,"RD2       ",52
2007,65106,96,5.5296,5.3102,5.635,"RD1       ",54
2016,80471,111,5.8772,5.4394,6.4797,"RD1       ",52
2010,70787,53,5.8997,5.3331,6.342,"RD1       ",50
2019,85230,59,4.3616,4.1402,4.6239,"RD2       ",52
2007,65106,65,5.4604,4.8795,5.8448,"RD1       ",52
2018,84250,87,6.5178,6.1545,6.8283,"RD1       ",53
2014,76150,28,4.2917,4.1643,4.5032,"RD2       ",49
2017,82790,79,4.1671,3.9474,4.3204,"RD2       ",53
2012,73190,35,5.0158,4.6347,5.3636,"RD2       ",49
2007,65106,47,6.4945,5.9529,6.7466,"RD1       ",51
2020,85690,16,4.5804,4.4078,4.8121,"RD2       ",49
2012,73190,88,2.8784,2.7394,3.0652,"RD3       ",52
2012,73190,84,4.8639,4.5157,5.159,"RD2       ",52
2006,62666,64,3.8081,3.5285,4.0365,"RD2       ",52
2011,72067,64,5.5194,5.1321,5.9808,"RD1       ",51
2014,76150,3,6.9816,6.8018,7.1104,"RD1       ",48
2013,74872,60,4.0751,3.8917,4.2727,"RD2       ",52
2006,62666,13,4.0307,3.8978,4.1978,"RD3       ",48
2012,73190,69,6.2334,6.2077,6.254,"RD1       ",51
2007,65106,90,4.8697,4.6382,5.0938,"RD1       ",53
2020,85690,8,2.8068,2.7969,2.8232,"RD3       ",48
2013,74872,41,5.754,5.2125,6.0708,"RD1       ",51
2015,77830,25,4.0457,3.88,4.2,"RD2       ",49
2015,77830,41,6.1251,6.06,6.17,"RD1       ",52
2013,74872,24,5.3615,5.1517,5.5101,"RD1       ",49
2014,76150,49,4.6112,4.3144,5.0687,"RD2       ",51
2019,85230,44,5.9369,5.7261,6.2379,"RD1       ",51
2006,62666,67,3.803,3.6493,3.9416,"RD2       ",52
2012,73190,75,5.6112,5.5732,5.6624,"RD1       ",51
2013,74872,67,2.9685,2.8875,3.0601,"RD3       ",52
2015,77830,10,3.1278,3.05,3.2,"RD3       ",48
2013,74872,27,3.8574,3.7396,4.0475,"RD3       ",50
2016,80471,27,3.0956,2.9525,3.3168,"RD3       ",50
2018,84250,98,3.4179,3.2408,3.5609,"RD3       ",53
2010,70787,60,3.086,2.9174,3.2095,"RD3       ",51
2020,85690,72,4.2654,4.0976,4.4507,"RD2       ",53
2018,84250,105,4.487,4.3763,4.6399,"RD2       ",53
2008,67007,20,4.7624,4.6241,4.8759,"RD2       ",48
2008,67007,125,5.9462,5.7192,6.1201,"RD1       ",53
2006,62666,17,4.3471,4.2229,4.6011,"RD2       ",48
2015,77830,59,6.7309,6.39,7.06,"RD1       ",52
2014,76150,23,3.9146,3.8141,4.01,"RD3       ",49
2006,62666,86,5.6644,5.4868,5.7936,"RD1       ",54
2017,82790,8,4.1815,4.0055,4.407,"RD2       ",48
2011,72067,8,3.0264,2.8595,3.2428,"RD3       ",48
2009,69067,118,5.2616,5.0972,5.4612,"RD2       ",53
2006,62666,23,5.649,5.4682,5.9756,"RD2       ",49
2010,70787,12,3.7049,3.5891,3.8327,"RD3       ",48
2013,74872,10,6.7229,6.6869,6.7539,"RD1       ",48
2014,76150,72,2.498,2.3942,2.6367,"RD3       ",52
2007,65106,61,5.5888,5.4359,5.7607,"RD1       ",51
2020,85690,51,3.9593,3.714,4.1803,"RD2       ",52
2019,85230,4,3.1575,3.0509,3.3117,"RD3       ",48
2016,80471,86,5.0152,4.6494,5.5959,"RD1       ",53
2010,70787,43,4.9427,4.7613,5.2353,"RD2       ",49
2010,70787,80,5.5172,4.8428,6.5457,"RD1       ",51
2006,62666,84,3.6072,3.4417,3.7446,"RD3       ",53
2012,73190,37,3.7495,3.7119,3.836,"RD3       ",49
2018,84250,25,4.9628,4.7558,5.1456,"RD2       ",49
2018,84250,62,4.0169,3.5734,4.5309,"RD2       ",51
2020,85690,48,5.4809,5.2232,5.7523,"RD1       ",51
2018,84250,77,3.979,3.6087,4.331,"RD2       ",52
2007,65106,30,4.4407,4.2587,4.6967,"RD2       ",50
2020,85690,73,3.2063,3.0528,3.3197,"RD3       ",53
2012,73190,55,3.6674,3.55,3.8082,"RD3       ",51
2012,73190,30,6.5923,6.0627,6.9854,"RD1       ",49
2014,76150,69,2.9643,2.7798,3.155,"RD3       ",52
2010,70787,61,4.2864,4.1282,4.5396,"RD2       ",51
2020,85690,66,3.8648,3.6817,4.1599,"RD2       ",53
2017,82790,32,4.5493,4.3478,4.6912,"RD2       ",50
2008,67007,35,6.6994,6.3382,6.8803,"RD1       ",49
2014,76150,13,4.7691,4.5671,5.0677,"RD2       ",49
2018,84250,81,3.5148,3.339,3.7991,"RD3       ",52
2009,69067,121,6.4342,6.236,6.6282,"RD1       ",53
2018,84250,37,6.0908,5.7906,6.436,"RD1       ",50
2019,85230,49,4.4595,4.051,4.9358,"RD2       ",51
2010,70787,55,3.4902,3.0946,3.8632,"RD3       ",51
2009,69067,32,2.5773,2.5385,2.6541,"RD3       ",49
2016,80471,50,5.2083,4.8389,5.7133,"RD2       ",51
2007,65106,98,3.3938,3.2385,3.5582,"RD3       ",54
2020,85690,69,4.4407,4.2753,4.6235,"RD2       ",53
2011,72067,47,6.0401,5.5787,6.6856,"RD1       ",50
2019,85230,61,4.2261,3.8066,4.6396,"RD2       ",52
2017,82790,24,3.5495,3.5488,3.5501,"RD3       ",49
2018,84250,106,3.7032,3.5603,3.838,"RD3       ",53
2014,76150,35,7.3344,7.2954,7.3597,"RD1       ",50
2013,74872,19,5.0507,4.7599,5.3687,"RD2       ",49
2016,80471,34,5.7967,5.5598,6.1499,"RD1       ",50
2007,65106,86,2.5327,2.494,2.5865,"RD3       ",53
2011,72067,85,2.8789,2.6476,3.1088,"RD3       ",52
2019,85230,58,3.8365,3.5525,4.0706,"RD2       ",52
2017,82790,29,4.4301,4.147,4.791,"RD2       ",50
2011,72067,11,3.4746,3.3342,3.6338,"RD3       ",48
2011,72067,53,4.9988,4.4355,5.6696,"RD1       ",51
2020,85690,61,3.4631,3.3179,3.5541,"RD3       ",52
2006,62666,29,7.0138,6.8578,7.1219,"RD1       ",49
2015,77830,11,5.0641,4.74,5.22,"RD2       ",48
2010,70787,52,6.4946,6.3547,6.5475,"RD1       ",50
2018,84250,22,3.4947,3.1825,3.9285,"RD3       ",49
2019,85230,31,3.6304,3.5865,3.697,"RD3       ",50
2013,74872,22,4.5999,4.5195,4.7377,"RD2       ",49
2014,76150,62,4.8378,4.6243,5.3203,"RD2       ",52
2016,80471,11,5.195,5.0597,5.3827,"RD2       ",48
2020,85690,24,4.4494,4.3504,4.5331,"RD2       ",49
2009,69067,67,6.3947,6.3918,6.4002,"RD1       ",51
2011,72067,65,5.712,5.3112,6.197,"RD1       ",51
2007,65106,67,3.0111,2.5967,3.3004,"RD3       ",52
2019,85230,55,5.0961,4.4312,6.1679,"RD1       ",52
2008,67007,11,5.6577,5.3827,5.9711,"RD2       ",48
2009,69067,36,3.8237,3.6462,3.9852,"RD2       ",50
2016,80471,9,2.8051,2.7697,2.8242,"RD3       ",48
2006,62666,27,4.5491,4.3214,4.8106,"RD2       ",49
2018,84250,32,3.3267,3.2101,3.4995,"RD3       ",50
2009,69067,122,5.4879,5.2432,5.6502,"RD1       ",53
2019,85230,3,3.1424,3.0209,3.2137,"RD3       ",48
2015,77830,48,4.6228,4.15,4.98,"RD2       ",51
2016,80471,5,6.0095,5.8804,6.2355,"RD1       ",48
2008,67007,21,5.8418,5.5847,6.3489,"RD1       ",48
2012,73190,10,4.3696,4.264,4.4935,"RD2       ",48
2016,80471,36,5.0541,4.6951,5.7016,"RD2       ",50
2019,85230,41,4.3523,4.1678,4.4767,"RD2       ",51
2018,84250,54,3.3615,3.1535,3.7532,"RD3       ",51
2008,67007,12,6.9853,6.9286,7.0317,"RD1       ",48
2011,72067,86,4.818,4.4634,5.2217,"RD1       ",52
2011,72067,98,2.7324,2.6111,2.974,"RD3       ",53
2008,67007,37,5.1928,4.9489,5.5463,"RD2       ",49
2008,67007,46,2.8846,2.7878,2.9756,"RD3       ",50
2017,82790,88,4.3393,4.1393,4.6678,"RD2       ",54
2013,74872,90,5.9846,5.9196,6.0459,"RD1       ",54
2011,72067,108,4.5079,4.4001,4.6301,"RD2       ",53
2008,67007,34,4.1706,3.9482,4.2729,"RD2       ",49
2009,69067,33,4.3638,3.9685,4.6731,"RD2       ",49
2015,77830,22,3.0566,2.98,3.2,"RD3       ",49
2015,77830,13,5.1016,4.82,5.59,"RD2       ",48
2007,65106,45,4.1151,3.8407,4.3519,"RD2       ",50
2017,82790,85,2.7834,2.481,3.0953,"RD3       ",54
2020,85690,47,3.4187,3.2673,3.5821,"RD3       ",51
2007,65106,72,3.9047,3.7115,4.1315,"RD2       ",52
2016,80471,48,7.4365,7.2774,7.5834,"RD1       ",51
2015,77830,61,4.7902,4.51,5.14,"RD2       ",52
2008,67007,64,5.6472,5.2088,5.9528,"RD1       ",51
2014,76150,36,6.0568,5.3666,6.9179,"RD1       ",50
2017,82790,52,5.0376,4.7067,5.5825,"RD2       ",51
2014,76150,33,5.0444,4.5067,5.4042,"RD2       ",50
2008,67007,15,5.7777,5.4839,6.0342,"RD2       ",48
2011,72067,55,4.5522,4.2343,4.8562,"RD2       ",51
2016,80471,21,4.8284,4.419,4.9743,"RD2       ",49
2015,77830,28,4.3329,4.2,4.5,"RD2       ",49
2017,82790,39,5.121,4.6834,5.5112,"RD2       ",51
2013,74872,39,2.9512,2.8277,3.081,"RD3       ",51
2008,67007,39,4.3591,4.2313,4.5245,"RD2       ",50
2008,67007,95,4.8124,4.6209,5.0647,"RD2       ",52
2017,82790,42,6.8611,6.7951,6.9068,"RD1       ",51
2009,69067,37,3.5633,3.3456,3.7208,"RD3       ",50
2017,82790,75,5.935,5.3731,6.3581,"RD1       ",53
2014,76150,77,3.3947,3.2103,3.5865,"RD3       ",53
2017,82790,38,6.5081,6.1511,6.8159,"RD1       ",51
2011,72067,73,4.8842,4.39,5.5614,"RD1       ",51
2019,85230,60,3.2197,2.8792,3.5764,"RD2       ",52
2017,82790,82,2.876,2.8685,2.8973,"RD3       ",53
2009,69067,119,4.4307,4.2358,4.6752,"RD2       ",53
2009,69067,66,4.0267,3.9063,4.189,"RD2       ",51
2006,62666,10,5.5147,5.3749,5.8456,"RD2       ",48
2014,76150,50,2.7595,2.4697,2.9943,"RD3       ",51
2013,74872,6,5.5607,5.3716,5.7113,"RD1       ",48
2015,77830,91,6.5372,6.44,6.6,"RD1       ",54
2014,76150,40,4.2121,3.9428,4.495,"RD2       ",51
2014,76150,43,5.1798,4.7601,5.6906,"RD2       ",51
2020,85690,20,6.0922,5.7398,6.5472,"RD1       ",49
2007,65106,81,4.6205,4.4008,4.9708,"RD1       ",53
2019,85230,29,4.5114,4.2727,4.7128,"RD2       ",49
2015,77830,51,4.0612,3.92,4.27,"RD2       ",51
2018,84250,58,5.0911,4.3625,6.0728,"RD2       ",51
2012,73190,94,3.2757,3.014,3.494,"RD3       ",53
2007,65106,35,3.0552,2.9634,3.1605,"RD3       ",50
2010,70787,99,4.5045,4.2339,4.9341,"RD2       ",52
2007,65106,75,3.4206,3.2916,3.5407,"RD3       ",52
2012,73190,60,6.2588,6.253,6.2625,"RD1       ",51
2020,85690,68,5.6228,5.4282,6.025,"RD1       ",53
2007,65106,58,2.7968,2.584,2.9741,"RD3       ",51
2016,80471,32,6.9669,6.9424,6.9948,"RD1       ",50
2015,77830,24,4.161,4,4.36,"RD2       ",49
2008,67007,48,5.7756,5.3897,6.5156,"RD1       ",50
2013,74872,75,3.4947,3.4299,3.5633,"RD3       ",53
2011,72067,77,5.9351,5.6493,6.2577,"RD1       ",52
2015,77830,68,5.716,5.29,6.31,"RD1       ",52
2011,72067,80,6.2921,5.6463,6.9993,"RD1       ",52
2006,62666,48,4.5169,4.1506,4.8317,"RD2       ",51
2014,76150,70,2.8836,2.6665,3.0628,"RD3       ",52
2014,76150,19,7.3958,7.3794,7.417,"RD1       ",49
2019,85230,69,4.9925,4.3545,5.5187,"RD1       ",51
2010,70787,110,3.6524,3.5505,3.8123,"RD2       ",53
2015,77830,21,2.8945,2.82,2.99,"RD3       ",49
2014,76150,25,4.6118,4.4379,4.8757,"RD2       ",49
2013,74872,33,6.3807,5.8391,6.6402,"RD1       ",50
2019,85230,39,4.4198,4.2587,4.5715,"RD2       ",50
2016,80471,83,3.62,3.3998,3.7855,"RD3       ",53
2008,67007,111,4.897,4.696,5.1481,"RD1       ",53
2010,70787,116,4.5373,4.2783,4.7314,"RD2       ",53
2009,69067,12,5.9512,5.6096,6.3533,"RD1       ",48
2016,80471,82,6.4647,6.1974,6.7267,"RD1       ",53
2008,67007,84,6.0093,5.8149,6.1792,"RD1       ",51
2007,65106,22,3.6983,3.5987,3.86,"RD3       ",49
2020,85690,9,4.2893,3.9951,4.5176,"RD2       ",48
2009,69067,62,2.7123,2.5295,2.8252,"RD3       ",51
2006,62666,54,4.0568,3.7505,4.4178,"RD3       ",51
2011,72067,26,4.9422,4.7856,5.1066,"RD2       ",49
2011,72067,17,2.8887,2.8176,3.0201,"RD3       ",48
2009,69067,50,7.0722,6.8887,7.186,"RD1       ",50
2014,76150,68,5.703,5.344,6.1068,"RD1       ",52
2016,80471,87,4.7263,4.2417,5.0733,"RD2       ",53
2019,85230,54,5.0206,4.7149,5.9432,"RD1       ",52
2016,80471,80,4.212,3.9835,4.4304,"RD2       ",53
2008,67007,130,5.0085,4.8106,5.3019,"RD1       ",54
2019,85230,22,3.6033,3.4494,3.7936,"RD3       ",49
2006,62666,16,6.997,6.7406,7.0934,"RD1       ",49
2019,85230,13,4.6816,4.3957,4.9753,"RD2       ",48
2014,76150,87,5.5799,5.2197,5.8778,"RD1       ",53
2016,80471,77,2.7637,2.5335,2.9643,"RD3       ",54
2017,82790,62,5.1729,4.7146,5.5634,"RD1       ",52
2018,84250,104,5.7928,5.5616,5.9525,"RD1       ",54
2006,62666,94,4.1027,3.8728,4.6192,"RD2       ",52
2013,74872,61,5.2892,4.9926,5.524,"RD1       ",52
2006,62666,60,3.1946,2.814,3.5952,"RD3       ",51
2014,76150,84,4.5005,4.2345,4.6789,"RD2       ",53
2017,82790,60,4.0464,3.8805,4.3104,"RD2       ",51
2008,67007,100,3.0668,2.8142,3.1798,"RD3       ",53
2016,80471,35,3.7749,3.3904,4.1887,"RD3       ",50
2019,85230,10,4.3833,4.2871,4.5103,"RD2       ",48
2011,72067,91,2.7718,2.691,2.8859,"RD3       ",52
2010,70787,123,4.6399,4.5123,4.7627,"RD2       ",53
2008,67007,134,2.8396,2.7606,2.8991,"RD3       ",54
2012,73190,101,5.7505,5.5946,5.8889,"RD1       ",53
2011,72067,33,3.0818,2.8068,3.2961,"RD3       ",49
2016,80471,40,4.6944,4.0897,5.2825,"RD2       ",51
2009,69067,22,2.7988,2.7108,2.9427,"RD3       ",49
2015,77830,8,4.6439,4.48,4.9,"RD2       ",48
2007,65106,59,3.0689,2.8167,3.5123,"RD3       ",51
2009,69067,75,4.1458,3.881,4.612,"RD2       ",51
2007,65106,85,5.1361,4.8995,5.3449,"RD1       ",53
2012,73190,52,4.6711,4.3384,5.1855,"RD2       ",50
2015,77830,57,3.9273,3.59,4.43,"RD2       ",51
2009,69067,96,4.7715,4.5172,5.2728,"RD1       ",52
2008,67007,1,4.6404,4.4322,4.8985,"RD2       ",48
2016,80471,14,6.5324,5.8945,7.1109,"RD1       ",48
2015,77830,69,6.6541,6.39,6.95,"RD1       ",52
2013,74872,83,6.004,5.7927,6.2676,"RD1       ",53
2015,77830,35,6.8766,6.43,7.37,"RD1       ",50
2016,80471,28,4.0821,3.9387,4.2552,"RD2       ",50
2013,74872,40,3.1746,2.9989,3.325,"RD3       ",51
2018,84250,10,5.2407,4.9035,5.6261,"RD2       ",48
2016,80471,53,6.0491,5.0419,6.7268,"RD1       ",51
2012,73190,40,3.9867,3.7972,4.1769,"RD3       ",50
2015,77830,84,4.372,4.18,4.65,"RD2       ",53
2017,82790,47,6.1372,5.7597,6.4247,"RD1       ",51
2013,74872,28,4.8681,4.6527,5.0759,"RD2       ",50
2019,85230,65,5.6783,5.222,6.4657,"RD1       ",51
2017,82790,11,4.6709,4.6697,4.6714,"RD2       ",48
2018,84250,80,6.0838,5.7163,6.3532,"RD1       ",52
2017,82790,69,5.4138,4.3561,6.3986,"RD1       ",52
2008,67007,78,5.5873,5.3828,5.809,"RD1       ",51
2009,69067,128,2.9907,2.9025,3.1268,"RD3       ",53
2011,72067,59,5.921,5.778,6.0928,"RD1       ",51
2015,77830,44,5.4314,4.83,6.26,"RD1       ",51
2007,65106,40,4.8108,4.3624,5.1383,"RD2       ",50
2017,82790,66,4.1643,3.8705,4.4266,"RD2       ",52
2010,70787,39,4.3718,4.189,4.5753,"RD2       ",50
2008,67007,75,4.1081,3.5875,4.497,"RD2       ",51
2015,77830,14,5.6664,5.57,5.74,"RD1       ",48
2010,70787,24,2.7008,2.6877,2.714,"RD3       ",49
2010,70787,34,3.1803,3.0842,3.2794,"RD3       ",49
2012,73190,77,6.2642,5.9717,6.7323,"RD1       ",51
2007,65106,1,5.6245,5.4961,5.7733,"RD1       ",48
2011,72067,107,3.0375,3.0116,3.0664,"RD3       ",54
2019,85230,47,4.4614,4.1906,4.9128,"RD2       ",51
2012,73190,59,6.3346,6.2408,6.3857,"RD1       ",51
2012,73190,99,4.9699,4.6419,5.2134,"RD2       ",53
2015,77830,71,2.7664,2.68,2.95,"RD3       ",52
